SIG Question,Response,Standards Context
187,Does the policy or procedure for information handling include a list of couriers approved by senior management (depending on the classification of the information) who are authorized to transfer physical storage media?,Yes,
188,Does the organization require stronger levels of authentication when transferring information through publicly accessible networks?,Yes,
189,Does the organization have procedures to prevent sending documents and messages in communications to an incorrect address or number?,Yes,
190,Does the organization have restrictions on electronic communication facilities that prevent the automatic forwarding of electronic mail to external mail addresses?,Yes,
191,"Does the organization have procedures to advise constituents against sending short message service (SMS) texts, instant messages, or using fax services with critical information due to the risk of unauthorized access?",Yes,
192,"Does the organization have a policy requiring personnel to refrain from having confidential verbal conversations in public places or over unsecured communication channels (e.g., leaving confidential messages on recording devices)?",Yes,
193,"When discussing sensitive, personal or confidential information, are personnel screened as appropriate, with a disclaimer up front that information to be discussed is sensitive (or critical), and is the environment secure (e.g., closed door, sound-proof room)?",Yes,"Heading: II. IT Security Program Standard, Content: (Note that there is value in reducing the footprint of confidential information in the institution's environment to the extent that this is possible.); Heading: Appendix A: Information Classification, Content: Additionally, institutions should consider the risk posed by information under the following laws and regulations:; Heading: VII. Physical Security Standard, Content: 7.1 Campuses must perform a risk assessment of the physical access controls which are in place protecting the IT facilities (such as server rooms, network closets, and wiring cabinets). Commensurate with this risk assessment, appropriate physical access controls must be in place, such as:
· Escorting any individual who is not authorized to operate independently and unescorted in these secure IT facilities and observing their activities at all times while in said facility.
· Maintaining a list of all employees and third parties who are authorized to operate independently and unescorted in secure IT facilities as defined in Section 7.1
· Ensuring that all portable storage media containing confidential information such as hard drives, flash drives, magnetic tapes, laptops, and CDs are physically secured
· Ensuring that proper environmental and physical controls are established to prevent accidental or unintentional loss of critical information residing on IT systems
· Ensuring that physical access devices are controlled and managed appropriately, and (commensurate with risk) that physical access is auditable."
194,"Does the policy or procedure for information handling include removable media (e.g., USB Drives, DVDs, etc.) requirements?",Yes,
195,Does the policy or procedure for information handling ensure information's classification is properly labeled in its related physical and electronic formats?,Yes,"Heading: II. IT Security Program Standard, Content: 2.4 Institutions will perform an institutional risk assessment and reasonably address the risks posed by confidential information on personal or contractor-owned devices and services.
2.5 Institutions must have documented Change Management procedures in place. Changes with material impact on the security of high-risk IT assets (e.g., firewall rules changes, granting of administrative rights, etc…) must be tracked, reviewed, and approved by a person who does not have a conflict of interest in the approval.
2.6 Institutions must develop and promulgate a Data Classification Policy. The policy must define classes of data that the institution considers to be a risk and the classes; Heading: Appendix A: Information Classification, Content: Institutions should organize their policies and procedures based on the following data classifications.; Heading: Appendix A: Information Classification, Content: Additionally, institutions should consider the risk posed by information under the following laws and regulations:"
196,Does the policy or procedure for information handling ensure constituents are aware of labeling procedures and given the necessary training to ensure information is labeled correctly?,Yes,"Heading: Appendix A: Information Classification, Content: Institutions should organize their policies and procedures based on the following data classifications.; Heading: Appendix A: Information Classification, Content: Additionally, institutions should consider the risk posed by information under the following laws and regulations:; Heading: II. IT Security Program Standard, Content: 2.4 Institutions will perform an institutional risk assessment and reasonably address the risks posed by confidential information on personal or contractor-owned devices and services.
2.5 Institutions must have documented Change Management procedures in place. Changes with material impact on the security of high-risk IT assets (e.g., firewall rules changes, granting of administrative rights, etc…) must be tracked, reviewed, and approved by a person who does not have a conflict of interest in the approval.
2.6 Institutions must develop and promulgate a Data Classification Policy. The policy must define classes of data that the institution considers to be a risk and the classes"
197,Does the organization protect and control its digital and non-digital media assets during transportation outside of controlled areas using appropriate security measures?,Yes,
198,"Is there a records retention policy and retention schedule covering paper and electronic records, including email in support of applicable regulations, standards, and contractual requirements?",Yes,"Heading: II. IT Security Program Standard, Content: 2.12 USM institutions must develop acceptable use policies that address the responsible use of institutional computing resources, including electronic mail, network services, electronic documents, information, software, and other resources.
2.13 Each USM institution shall have personnel designated for providing official notices of IT incidents and advisories to the institutional user community. Only these personnel will send such messages.
2.14 Institutions must comply with the Digital Millennium Copyright Act and designate a single point of contact for inquiries about copyright violations.
2.15 Institutions must establish a policy and implement measures to protect Confidential Information from disclosure in conformance with applicable State of Maryland and federal laws. These include having an institutional acceptable use policy, not using confidential information as identifiers, and having an institutional confidentiality/non-disclosure policy or requiring non-disclosure agreements prior to granting employees access to confidential data.; Heading: 9.3 Third-party contracts should include the following as applicable:, Content: · Requirements for recovery of institutional resources such as data, software, hardware, configurations, and licenses at the termination of the contract.
Provisions stipulating that the third-party service provider is the owner or authorized user of their software and all of its components, and the thirdparty's software and all of its components, to the best of third-party's knowledge, do not violate any patent, trademark, trade secret, copyright or any other right of ownership of any other party.
· Service level agreements including provisions for non-compliance.
· Provisions that stipulate that all institutional data remains the property of the institution.
· Provisions that block the secondary use of institutional data.
· Provisions that require the consent of the institution prior to sharing institutional data with any third parties.
Provisions that manage the retention and destruction requirements related to institutional data.
· Requirements to establish and maintain industry standard technical and organizational measures to protect against:
· Provisions that require any vendor to disclose any subcontractors related to their services.
o accidental destruction, loss, alteration, or damage to the materials;
unauthorized access to confidential information
o unauthorized access to the services and materials; and
industry known system attacks (e.g., hacker and virus attacks)
· Requirements for reporting any confirmed or suspected breach of institutional data to the institution.
· Requirements that the institution be given notice of any government or third-party subpoena requests prior to the contractor answering a request.
· The right of the Institution or an appointed audit firm to audit the vendor's security related to the processing, transport, or storage of institutional data.
· Requirement that the Service Provider must periodically make available a third-party review that satisfies the professional requirement of being performed by a recognized independent audit organization (refer to 9.1). In addition, the Service Provider should make available evidence of their business continuity and disaster recovery capabilities to mitigate the impact of a realized risk.
· Requirement that the Service Provider ensure continuity of services in the event of the company being acquired or a change in management.
· Requirement that the contract does not contain the following provisions:; Heading: II. IT Security Program Standard, Content: 2.11 Institutions must report annually to the senior leadership of the institution on the risk posed to the institution by information technology, cybersecurity, and privacy to the institution. This report must be on record at the institution and must be available upon request from the USM."
199,"Is there a data retention/destruction requirement that includes information on live media, backup/archived media, and information managed by fourth parties?",Yes,"Heading: VII. Physical Security Standard, Content: The following media destruction and reuse standards apply to all electronic storage media equipment that is owned or leased by USM institutions (including, but not limited to: workstations, servers, laptops, cell phones, and multi-function printer/copiers.; Heading: 9.3 Third-party contracts should include the following as applicable:, Content: · Requirements for recovery of institutional resources such as data, software, hardware, configurations, and licenses at the termination of the contract.
Provisions stipulating that the third-party service provider is the owner or authorized user of their software and all of its components, and the thirdparty's software and all of its components, to the best of third-party's knowledge, do not violate any patent, trademark, trade secret, copyright or any other right of ownership of any other party.
· Service level agreements including provisions for non-compliance.
· Provisions that stipulate that all institutional data remains the property of the institution.
· Provisions that block the secondary use of institutional data.
· Provisions that require the consent of the institution prior to sharing institutional data with any third parties.
Provisions that manage the retention and destruction requirements related to institutional data.
· Requirements to establish and maintain industry standard technical and organizational measures to protect against:
· Provisions that require any vendor to disclose any subcontractors related to their services.
o accidental destruction, loss, alteration, or damage to the materials;
unauthorized access to confidential information
o unauthorized access to the services and materials; and
industry known system attacks (e.g., hacker and virus attacks)
· Requirements for reporting any confirmed or suspected breach of institutional data to the institution.
· Requirements that the institution be given notice of any government or third-party subpoena requests prior to the contractor answering a request.
· The right of the Institution or an appointed audit firm to audit the vendor's security related to the processing, transport, or storage of institutional data.
· Requirement that the Service Provider must periodically make available a third-party review that satisfies the professional requirement of being performed by a recognized independent audit organization (refer to 9.1). In addition, the Service Provider should make available evidence of their business continuity and disaster recovery capabilities to mitigate the impact of a realized risk.
· Requirement that the Service Provider ensure continuity of services in the event of the company being acquired or a change in management.
· Requirement that the contract does not contain the following provisions:; Heading: X. Policy on Non-Institutionally-Owned Devices and Services, Content: -Risk of confidential data falling into the wrong hands.
Risk of mission-critical data being lost to the institution (e.g. important research data being outside of the institution's backup scheme).
-Risk of institutional data being stored in non-institutionally purchased/controlled services (e.g. private Google Drive, DropBox, etc.).
-Develop an Institutional Agreement with staff that addresses the following responsibilities of the end-user:
o Take reasonable steps to secure such a device;
Take reasonable steps to secure their home network;
o Report any potential compromise or loss of the device being used to access institutional resources;
o Ensure that only an authorized user can use the device to access institutional resources; and
o Destroy/remove all institutional data upon separation from the institution, or upon the request of the institution."
200,Is scoped data included in a regular data retention review?,Yes,"Heading: III. Auditability Standard, Content: Examples of significant events which should be reviewed and documented (where possible) include additions/changes to critical applications, actions performed by administrative level accounts, additions and changes to users' access control profiles, and direct modifications to critical data outside of the application. Where it is not possible to maintain such audit trails, the willingness to accept the risk of not auditing such actions should be documented .; Heading: IX. Third-Party/Cloud Technology Services Standard, Content: Institutions must assess, and take steps to mitigate, the risk of unauthorized access, use, disclosure, modification, or destruction of confidential institutional information. This standard only applies to third-party cloud technology service agreements where there is a potential for high risk to the institution. See Appendix A: Definition of Confidential Information to determine the classification of data involved.; Heading: II. IT Security Program Standard, Content: 2.17 When confidential data are shared with other institutions, the State, or federal agencies, that shared data should be managed with the security requirements determined to be the highest among the sharing institutions involved and approved by the institutional CIO or data steward (i.e. the member of the institution with responsibility for the data)."
201,Is all media containing scoped data disposed of securely?,Yes,
202,Does the organization maintain procedures for the secure reuse and disposal of storage media?,Yes,"Heading: VII. Physical Security Standard, Content: The following media destruction and reuse standards apply to all electronic storage media equipment that is owned or leased by USM institutions (including, but not limited to: workstations, servers, laptops, cell phones, and multi-function printer/copiers.; Heading: VII. Physical Security Standard, Content: 7.2 When no longer usable, electronic storage media that contain confidential data shall be destroyed and/or sanitized. Institutions must use methods that are in accordance with the NIST SP800-88rev1 Guidelines for Media Sanitization. This requirement applies to the permanent disposal of all storage media and equipment containing storage media regardless of the identity of the recipient. It also applies to equipment sent for maintenance or repair.
7.3 The procedures performed to sanitize electronic media must be documented and data destruction records retained whether performed in-house or by a campus contractor.
7.4 Media must be cleansed in accordance with NIST SP 800-88 before being released internally for reuse. The cleansing technique used should be commensurate with the risk associated with the data stored on that media.; Heading: X. Policy on Non-Institutionally-Owned Devices and Services, Content: -Risk of confidential data falling into the wrong hands.
Risk of mission-critical data being lost to the institution (e.g. important research data being outside of the institution's backup scheme).
-Risk of institutional data being stored in non-institutionally purchased/controlled services (e.g. private Google Drive, DropBox, etc.).
-Develop an Institutional Agreement with staff that addresses the following responsibilities of the end-user:
o Take reasonable steps to secure such a device;
Take reasonable steps to secure their home network;
o Report any potential compromise or loss of the device being used to access institutional resources;
o Ensure that only an authorized user can use the device to access institutional resources; and
o Destroy/remove all institutional data upon separation from the institution, or upon the request of the institution."
203,Does the organization have procedures to perform a risk assessment on damaged devices containing sensitive data?,Yes,
204,Is media disposal logged to maintain an audit trail?,Yes,"Heading: III. Auditability Standard, Content: 3.1 Commensurate with risk, institutions must maintain appropriate audit trails of events and actions related to all on premises and 3 rd party IT systems and physical access controls. Audit trails and events must be regularly monitored for indications of suspicious, unusual, unlawful, unauthorized, or inappropriate activity. Signs of compromise or other high-risk events must be immediately reported to appropriate officials for prompt resolution.; Heading: 9.3 Third-party contracts should include the following as applicable:, Content: o The unilateral right of the Service Provider to limit, suspend, or terminate the service (with or without notice and for any reason).
· Requirement that the Service Provider make available audit logs recording privileged user and regular user access activities, authorized and unauthorized access attempts, system exceptions, and information security events (as available) [reference Section III - Auditability Standard]
o A disclaimer of liability for third-party action.; Heading: VII. Physical Security Standard, Content: 7.2 When no longer usable, electronic storage media that contain confidential data shall be destroyed and/or sanitized. Institutions must use methods that are in accordance with the NIST SP800-88rev1 Guidelines for Media Sanitization. This requirement applies to the permanent disposal of all storage media and equipment containing storage media regardless of the identity of the recipient. It also applies to equipment sent for maintenance or repair.
7.3 The procedures performed to sanitize electronic media must be documented and data destruction records retained whether performed in-house or by a campus contractor.
7.4 Media must be cleansed in accordance with NIST SP 800-88 before being released internally for reuse. The cleansing technique used should be commensurate with the risk associated with the data stored on that media."
205,"If in electronic form, is all scoped data made unrecoverable (wiped or overwritten) prior to asset reuse?",Yes,
206,"If asset disposal is outsourced, is the service provider vetted for destruction methods, and do they provide disposal certificates based on the agreed upon SLA?",Yes,"Heading: IX. Third-Party/Cloud Technology Services Standard, Content: in the contract. They must also reassess the risk of the cloud solution to ensure that the solution continues to provide adequate protection to institutional information assets.; Heading: VII. Physical Security Standard, Content: The following media destruction and reuse standards apply to all electronic storage media equipment that is owned or leased by USM institutions (including, but not limited to: workstations, servers, laptops, cell phones, and multi-function printer/copiers.; Heading: IX. Third-Party/Cloud Technology Services Standard, Content: 9.1 In conjunction with the Institution's procurement department and security team, stakeholders shall perform the following activities during the life-cycle of the thirdparty cloud technology service:
· Assess the risks associated with the third-party cloud service. Institutions must ensure that the security of a vendor's cloud solution provides comparable protection to a premises-based solution including the need to ensure confidentiality, integrity, availability, security, and privacy.
· Commensurate with the risk, request and, if available, obtain, review, and document control assessment reports performed by a recognized independent audit organization. Examples of acceptable control assessment reports include (but are not limited to):
PCI Security Standards
o AICPA SOC2/Type2
o ISO 27001/2 Certification
FedRAMP
9.2 Institutions must annually review the most recent control assessment reports as well as the providers' compliance with IT security, privacy, and availability deliverables"
207,"Does the organization require dual authorization for the destruction, disposal, or sanitization of digital media that contains sensitive data?",Yes,
208,Does the organization have a process for ensuring the timely secure disposal of temporary files that contain personal information?,Yes,
209,Is scoped data sent or received electronically?,Yes,
210,"Are policies, procedures, and controls for transferring information enforced, including the reliability and availability of the transfer service?",Yes,"Heading: 9.3 Third-party contracts should include the following as applicable:, Content: · Requirements for recovery of institutional resources such as data, software, hardware, configurations, and licenses at the termination of the contract.
Provisions stipulating that the third-party service provider is the owner or authorized user of their software and all of its components, and the thirdparty's software and all of its components, to the best of third-party's knowledge, do not violate any patent, trademark, trade secret, copyright or any other right of ownership of any other party.
· Service level agreements including provisions for non-compliance.
· Provisions that stipulate that all institutional data remains the property of the institution.
· Provisions that block the secondary use of institutional data.
· Provisions that require the consent of the institution prior to sharing institutional data with any third parties.
Provisions that manage the retention and destruction requirements related to institutional data.
· Requirements to establish and maintain industry standard technical and organizational measures to protect against:
· Provisions that require any vendor to disclose any subcontractors related to their services.
o accidental destruction, loss, alteration, or damage to the materials;
unauthorized access to confidential information
o unauthorized access to the services and materials; and
industry known system attacks (e.g., hacker and virus attacks)
· Requirements for reporting any confirmed or suspected breach of institutional data to the institution.
· Requirements that the institution be given notice of any government or third-party subpoena requests prior to the contractor answering a request.
· The right of the Institution or an appointed audit firm to audit the vendor's security related to the processing, transport, or storage of institutional data.
· Requirement that the Service Provider must periodically make available a third-party review that satisfies the professional requirement of being performed by a recognized independent audit organization (refer to 9.1). In addition, the Service Provider should make available evidence of their business continuity and disaster recovery capabilities to mitigate the impact of a realized risk.
· Requirement that the Service Provider ensure continuity of services in the event of the company being acquired or a change in management.
· Requirement that the contract does not contain the following provisions:; Heading: Appendix A: Information Classification, Content: Additionally, institutions should consider the risk posed by information under the following laws and regulations:; Heading: II. IT Security Program Standard, Content: 2.4 Institutions will perform an institutional risk assessment and reasonably address the risks posed by confidential information on personal or contractor-owned devices and services.
2.5 Institutions must have documented Change Management procedures in place. Changes with material impact on the security of high-risk IT assets (e.g., firewall rules changes, granting of administrative rights, etc…) must be tracked, reviewed, and approved by a person who does not have a conflict of interest in the approval.
2.6 Institutions must develop and promulgate a Data Classification Policy. The policy must define classes of data that the institution considers to be a risk and the classes"
211,Is scoped data sent or received electronically encrypted in transit while outside the network?,Yes,"Heading: II. IT Security Program Standard, Content: (See NIST Special Publication 800-52 Rev.2 for guidance on encryption of data in transit, and FIPS 140-2 for guidance on encryption of data at rest).; Heading: II. IT Security Program Standard, Content: 2.16 USM institutions must utilize encryption for Confidential Information and Protected Health Information while the data are in transit or at rest on any media (including portable devices, flash storage, optical media, and magnetic media) or apply compensating controls that are equally secure, depending on the capabilities of the technology in use. When institutions utilize encryption, techniquessuch as whole disk encryption, file encryption, database encryption, and network-based encryption must be chosen as appropriate to address the risks posed to the institution by the information on the system. Any encryption utilized by an institution must be implemented in a manner which prevents loss of data and ensures continued appropriate access to information and systems. Where applicable and necessary for the institutional risk management program, encryption must be used with 3 rd party IT solutions to protect Confidential Information.; Heading: II. IT Security Program Standard, Content: 2.17 When confidential data are shared with other institutions, the State, or federal agencies, that shared data should be managed with the security requirements determined to be the highest among the sharing institutions involved and approved by the institutional CIO or data steward (i.e. the member of the institution with responsibility for the data)."
212,"Does scoped data sent or received electronically include encryption of e-mail, chat, and other messaging technologies?",Yes,"Heading: II. IT Security Program Standard, Content: (See NIST Special Publication 800-52 Rev.2 for guidance on encryption of data in transit, and FIPS 140-2 for guidance on encryption of data at rest).; Heading: II. IT Security Program Standard, Content: 2.16 USM institutions must utilize encryption for Confidential Information and Protected Health Information while the data are in transit or at rest on any media (including portable devices, flash storage, optical media, and magnetic media) or apply compensating controls that are equally secure, depending on the capabilities of the technology in use. When institutions utilize encryption, techniquessuch as whole disk encryption, file encryption, database encryption, and network-based encryption must be chosen as appropriate to address the risks posed to the institution by the information on the system. Any encryption utilized by an institution must be implemented in a manner which prevents loss of data and ensures continued appropriate access to information and systems. Where applicable and necessary for the institutional risk management program, encryption must be used with 3 rd party IT solutions to protect Confidential Information.; Heading: II. IT Security Program Standard, Content: 2.17 When confidential data are shared with other institutions, the State, or federal agencies, that shared data should be managed with the security requirements determined to be the highest among the sharing institutions involved and approved by the institutional CIO or data steward (i.e. the member of the institution with responsibility for the data)."
213,Does scoped data sent or received electronically include protection against malicious code by network virus inspection or virus scan at the endpoint?,Yes,
214,Does scoped data sent or received electronically include content filtering scans performed on incoming/outgoing email to enforce email policy?,Yes,
215,"Is regulated or confidential scoped data stored electronically with data protection safeguards e.g., full-disk encryption, databases, files, encryption keys, etc.?",Yes,"Heading: IX. Third-Party/Cloud Technology Services Standard, Content: Institutions must assess, and take steps to mitigate, the risk of unauthorized access, use, disclosure, modification, or destruction of confidential institutional information. This standard only applies to third-party cloud technology service agreements where there is a potential for high risk to the institution. See Appendix A: Definition of Confidential Information to determine the classification of data involved.; Heading: II. IT Security Program Standard, Content: 2.17 When confidential data are shared with other institutions, the State, or federal agencies, that shared data should be managed with the security requirements determined to be the highest among the sharing institutions involved and approved by the institutional CIO or data steward (i.e. the member of the institution with responsibility for the data).; Heading: II. IT Security Program Standard, Content: 2.16 USM institutions must utilize encryption for Confidential Information and Protected Health Information while the data are in transit or at rest on any media (including portable devices, flash storage, optical media, and magnetic media) or apply compensating controls that are equally secure, depending on the capabilities of the technology in use. When institutions utilize encryption, techniquessuch as whole disk encryption, file encryption, database encryption, and network-based encryption must be chosen as appropriate to address the risks posed to the institution by the information on the system. Any encryption utilized by an institution must be implemented in a manner which prevents loss of data and ensures continued appropriate access to information and systems. Where applicable and necessary for the institutional risk management program, encryption must be used with 3 rd party IT solutions to protect Confidential Information."
216,Is full-disk encryption enabled for all systems that store or process scoped data?,Yes,"Heading: II. IT Security Program Standard, Content: 2.16 USM institutions must utilize encryption for Confidential Information and Protected Health Information while the data are in transit or at rest on any media (including portable devices, flash storage, optical media, and magnetic media) or apply compensating controls that are equally secure, depending on the capabilities of the technology in use. When institutions utilize encryption, techniquessuch as whole disk encryption, file encryption, database encryption, and network-based encryption must be chosen as appropriate to address the risks posed to the institution by the information on the system. Any encryption utilized by an institution must be implemented in a manner which prevents loss of data and ensures continued appropriate access to information and systems. Where applicable and necessary for the institutional risk management program, encryption must be used with 3 rd party IT solutions to protect Confidential Information.; Heading: II. IT Security Program Standard, Content: (See NIST Special Publication 800-52 Rev.2 for guidance on encryption of data in transit, and FIPS 140-2 for guidance on encryption of data at rest).; Heading: II. IT Security Program Standard, Content: 2.17 When confidential data are shared with other institutions, the State, or federal agencies, that shared data should be managed with the security requirements determined to be the highest among the sharing institutions involved and approved by the institutional CIO or data steward (i.e. the member of the institution with responsibility for the data)."
217,Is regulated or confidential scoped data stored in a database?,Yes,
218,Does regulated or confidential scoped data stored in a database include Database Encryption?,Yes,"Heading: II. IT Security Program Standard, Content: 2.17 When confidential data are shared with other institutions, the State, or federal agencies, that shared data should be managed with the security requirements determined to be the highest among the sharing institutions involved and approved by the institutional CIO or data steward (i.e. the member of the institution with responsibility for the data).; Heading: II. IT Security Program Standard, Content: 2.16 USM institutions must utilize encryption for Confidential Information and Protected Health Information while the data are in transit or at rest on any media (including portable devices, flash storage, optical media, and magnetic media) or apply compensating controls that are equally secure, depending on the capabilities of the technology in use. When institutions utilize encryption, techniquessuch as whole disk encryption, file encryption, database encryption, and network-based encryption must be chosen as appropriate to address the risks posed to the institution by the information on the system. Any encryption utilized by an institution must be implemented in a manner which prevents loss of data and ensures continued appropriate access to information and systems. Where applicable and necessary for the institutional risk management program, encryption must be used with 3 rd party IT solutions to protect Confidential Information.; Heading: IX. Third-Party/Cloud Technology Services Standard, Content: Institutions must assess, and take steps to mitigate, the risk of unauthorized access, use, disclosure, modification, or destruction of confidential institutional information. This standard only applies to third-party cloud technology service agreements where there is a potential for high risk to the institution. See Appendix A: Definition of Confidential Information to determine the classification of data involved."
219,Does regulated or confidential scoped data stored in a database include column/field encryption?,Yes,"Heading: II. IT Security Program Standard, Content: 2.17 When confidential data are shared with other institutions, the State, or federal agencies, that shared data should be managed with the security requirements determined to be the highest among the sharing institutions involved and approved by the institutional CIO or data steward (i.e. the member of the institution with responsibility for the data).; Heading: IX. Third-Party/Cloud Technology Services Standard, Content: Institutions must assess, and take steps to mitigate, the risk of unauthorized access, use, disclosure, modification, or destruction of confidential institutional information. This standard only applies to third-party cloud technology service agreements where there is a potential for high risk to the institution. See Appendix A: Definition of Confidential Information to determine the classification of data involved.; Heading: II. IT Security Program Standard, Content: 2.16 USM institutions must utilize encryption for Confidential Information and Protected Health Information while the data are in transit or at rest on any media (including portable devices, flash storage, optical media, and magnetic media) or apply compensating controls that are equally secure, depending on the capabilities of the technology in use. When institutions utilize encryption, techniquessuch as whole disk encryption, file encryption, database encryption, and network-based encryption must be chosen as appropriate to address the risks posed to the institution by the information on the system. Any encryption utilized by an institution must be implemented in a manner which prevents loss of data and ensures continued appropriate access to information and systems. Where applicable and necessary for the institutional risk management program, encryption must be used with 3 rd party IT solutions to protect Confidential Information."
220,Does regulated or confidential scoped data stored in a database include tablespace encryption?,Yes,"Heading: II. IT Security Program Standard, Content: 2.17 When confidential data are shared with other institutions, the State, or federal agencies, that shared data should be managed with the security requirements determined to be the highest among the sharing institutions involved and approved by the institutional CIO or data steward (i.e. the member of the institution with responsibility for the data).; Heading: II. IT Security Program Standard, Content: 2.16 USM institutions must utilize encryption for Confidential Information and Protected Health Information while the data are in transit or at rest on any media (including portable devices, flash storage, optical media, and magnetic media) or apply compensating controls that are equally secure, depending on the capabilities of the technology in use. When institutions utilize encryption, techniquessuch as whole disk encryption, file encryption, database encryption, and network-based encryption must be chosen as appropriate to address the risks posed to the institution by the information on the system. Any encryption utilized by an institution must be implemented in a manner which prevents loss of data and ensures continued appropriate access to information and systems. Where applicable and necessary for the institutional risk management program, encryption must be used with 3 rd party IT solutions to protect Confidential Information.; Heading: IX. Third-Party/Cloud Technology Services Standard, Content: Institutions must assess, and take steps to mitigate, the risk of unauthorized access, use, disclosure, modification, or destruction of confidential institutional information. This standard only applies to third-party cloud technology service agreements where there is a potential for high risk to the institution. See Appendix A: Definition of Confidential Information to determine the classification of data involved."
221,Is regulated or confidential scoped data stored in files?,Yes,"Heading: II. IT Security Program Standard, Content: 2.17 When confidential data are shared with other institutions, the State, or federal agencies, that shared data should be managed with the security requirements determined to be the highest among the sharing institutions involved and approved by the institutional CIO or data steward (i.e. the member of the institution with responsibility for the data).; Heading: IX. Third-Party/Cloud Technology Services Standard, Content: Institutions must assess, and take steps to mitigate, the risk of unauthorized access, use, disclosure, modification, or destruction of confidential institutional information. This standard only applies to third-party cloud technology service agreements where there is a potential for high risk to the institution. See Appendix A: Definition of Confidential Information to determine the classification of data involved.; Heading: II. IT Security Program Standard, Content: (Note that there is value in reducing the footprint of confidential information in the institution's environment to the extent that this is possible.)"
222,Does regulated or confidential scoped data stored in files include file/folder-level encryption enabled?,Yes,"Heading: II. IT Security Program Standard, Content: 2.17 When confidential data are shared with other institutions, the State, or federal agencies, that shared data should be managed with the security requirements determined to be the highest among the sharing institutions involved and approved by the institutional CIO or data steward (i.e. the member of the institution with responsibility for the data).; Heading: II. IT Security Program Standard, Content: 2.16 USM institutions must utilize encryption for Confidential Information and Protected Health Information while the data are in transit or at rest on any media (including portable devices, flash storage, optical media, and magnetic media) or apply compensating controls that are equally secure, depending on the capabilities of the technology in use. When institutions utilize encryption, techniquessuch as whole disk encryption, file encryption, database encryption, and network-based encryption must be chosen as appropriate to address the risks posed to the institution by the information on the system. Any encryption utilized by an institution must be implemented in a manner which prevents loss of data and ensures continued appropriate access to information and systems. Where applicable and necessary for the institutional risk management program, encryption must be used with 3 rd party IT solutions to protect Confidential Information.; Heading: IX. Third-Party/Cloud Technology Services Standard, Content: Institutions must assess, and take steps to mitigate, the risk of unauthorized access, use, disclosure, modification, or destruction of confidential institutional information. This standard only applies to third-party cloud technology service agreements where there is a potential for high risk to the institution. See Appendix A: Definition of Confidential Information to determine the classification of data involved."
223,"Is Information classified according to legal or regulatory requirements, business value, and sensitivity to unauthorized disclosure or modification?",Yes,"Heading: IX. Third-Party/Cloud Technology Services Standard, Content: Institutions must assess, and take steps to mitigate, the risk of unauthorized access, use, disclosure, modification, or destruction of confidential institutional information. This standard only applies to third-party cloud technology service agreements where there is a potential for high risk to the institution. See Appendix A: Definition of Confidential Information to determine the classification of data involved.; Heading: Appendix A: Information Classification, Content: Additionally, institutions should consider the risk posed by information under the following laws and regulations:; Heading: II. IT Security Program Standard, Content: 2.4 Institutions will perform an institutional risk assessment and reasonably address the risks posed by confidential information on personal or contractor-owned devices and services.
2.5 Institutions must have documented Change Management procedures in place. Changes with material impact on the security of high-risk IT assets (e.g., firewall rules changes, granting of administrative rights, etc…) must be tracked, reviewed, and approved by a person who does not have a conflict of interest in the approval.
2.6 Institutions must develop and promulgate a Data Classification Policy. The policy must define classes of data that the institution considers to be a risk and the classes"
224,"Is information reclassified as information value, sensitivity, and customer requirements change?",Yes,"Heading: II. IT Security Program Standard, Content: 2.4 Institutions will perform an institutional risk assessment and reasonably address the risks posed by confidential information on personal or contractor-owned devices and services.
2.5 Institutions must have documented Change Management procedures in place. Changes with material impact on the security of high-risk IT assets (e.g., firewall rules changes, granting of administrative rights, etc…) must be tracked, reviewed, and approved by a person who does not have a conflict of interest in the approval.
2.6 Institutions must develop and promulgate a Data Classification Policy. The policy must define classes of data that the institution considers to be a risk and the classes; Heading: Appendix A: Information Classification, Content: Additionally, institutions should consider the risk posed by information under the following laws and regulations:; Heading: IX. Third-Party/Cloud Technology Services Standard, Content: Institutions must assess, and take steps to mitigate, the risk of unauthorized access, use, disclosure, modification, or destruction of confidential institutional information. This standard only applies to third-party cloud technology service agreements where there is a potential for high risk to the institution. See Appendix A: Definition of Confidential Information to determine the classification of data involved."
