SIG Question,Response,Additional Information
Does the telecom equipment room include Digital CCTV with video stored at least 90 days?,Yes,
Is access to the telecom equipment room restricted and are logs kept of all access?,Yes,
Are devices located in a locked server cabinet within the data center?,Yes,
Do server cabinets include restricted access and are logs kept of all access?,Yes,
Do server cabinets include Digital CCTV and video stored at least 90 days?,Yes,
Do the scoped systems and data reside in a data center?,Yes,
Do other tenants use the data center?,Yes,
Are locking screensavers on unattended system displays or locks on consoles required within the data center?,Yes,
Is there a procedure for equipment removal from the data center?,Yes,
Does the organization have maintenance support contracts for critical equipment?,Yes,
Are there active maintenance contracts for all UPS systems?,Yes,
Are there active maintenance contracts for all physical security systems?,No,
Are there active maintenance contracts for generators and critical batteries?,Yes,
Are there active maintenance contracts for all monitored fire alarms and fire suppression systems?,Yes,
Are there active maintenance contracts for all HVAC systems?,Yes,
Are tests conducted for any building systems?,Yes,
Are UPS systems tested at least annually?,Yes,
Are all security alarm systems tested at least annually?,Yes,
Are all fire alarms tested at least annually?,Yes,
Are all fire suppression systems tested at least annually?,Yes,
Are all generators tested monthly?,Yes,
Are all generators full load tested at least monthly?,Yes,
"Does the organization's executive leadership ensure Information Technology Operation's policies and procedures are established and aligned with organizational strategy, and communicated to the entire organization?",Yes,
"Do all IT personnel (e.g., centralized, decentralized, shadow IT) utilize the same set of policies, standards, and procedures?",Yes,
"Does the organization have a formalized Information Technology (IT) structure that defines IT operations (e.g., architecture, infrastructure, service and support, etc.), governance and management responsibilities?",No,"Our organization has a well-defined IT structure that outlines the responsibilities for various IT operations, governance, and management. This structure ensures clear accountability and efficient management of our IT resources."
"Does the organization have defined responsibilities (e.g., internal, external, third party) for the implementation, management, and maintenance of architecture and infrastructure activities related to the scoped systems?",Yes,
Does the organization's board of directors or ownership ensure Information Technology programs are funded sufficiently to meet the organization's objectives?,Yes,
"Are responsibilities for IT Governance (e.g., Architecture, Network, Infrastructure, IT Operations, etc.) clearly identified and communicated to the relevant parties?",Yes,
"Are IT Governance roles and responsibilities for oversight of the use of outsourced technology or services (e.g., applications, cloud hosting, embedded technology, microservices, etc.) clearly identified and documented?",Yes,
"Do all IT personnel (e.g., centralized, decentralized, shadow IT) receive the same security awareness training?",Yes,
"Are there standard templates utilized by the organization that cover hardware, software, services, and network configurations that are regularly reviewed and updated as necessary?",Yes,
"Does the organization have a procedure to monitor configurations and address deviations with a comprehensive set of system management tools (e.g., maintenance utilities, remote support, enterprise management tools)?",Yes,
"Is there an operational Change Management/Change Control policy or program that has been documented, approved by management, communicated to appropriate constituents, and assigned an owner to maintain and review the policy?",Yes,
"Does the operational Change Management/Change Control Policy or program include a review for potential operational or security impact (e.g., internal impact, client impact, etc.)?",Yes,
"Does the operational Change Management/Change Control policy or program include categorizing/logging, documenting the changes by severity level (e.g., routine, major, emergency) and securely storing all records?",No,
Does the operational Change Management/Change Control policy or program include a procedure for addressing emergency changes including appropriate approvals after deployment and communication of changes to all relevant constituents?,No,
"Does the operational Change Management/Change Control policy or program include changes to the production environment including network, systems, application updates, code and configuration changes subject to the change control process?",Yes,
"Does the operational Change Management/Change Control policy or program include segregation of duties among those requesting, approving, and implementing a change?",Yes,
Does the operational Change Management/Change Control policy or program include a formal process to ensure clients are notified prior to changes being made which may impact their service?,Yes,
"Does the operational Change Management/Change Control policy or program include a requirement for technical support personnel to alert stakeholders when remote, non-local maintenance is scheduled e.g., date/time?",Yes,
Does the operational Change Management/Change Control policy or program include a scheduled maintenance window which results in client downtime?,Yes,
Does the operational Change Management/Change Control policy or program include an option for clients to opt-in or opt-out of specific features in releases?,No,
"Does the operational Change Management/Change Control policy or program require evidence that information security activities will not adversely affect existing systems, particularly at peak processing times, such as month end?",Yes,
"Does the operational Change Management/Change Control policy or program include an online status portal, which provides information for planned and unplanned outages?",Yes,
Does the operational Change Management/Change Control policy or program include requirements governing software and infrastructure installation?,Yes,
Does the operational Change Management/Change Control policy or program ensure approved changes have been implemented as approved by the program owner?,Yes,
"Are operating procedures for information processing documented, maintained, reviewed, and updated by authorized personnel and made available for all users?",Yes,
Does the operational Change Management/Change Control policy or program include pre- and post-implementation testing?,Yes,
Does the operational Change Management/Change Control policy or program include post-implementation testing?,Yes,
Does the operational Change Management/Change Control policy or program include rollback procedures?,Yes,
"Does the operational Change Management/Change Control policy or program include secure code analysis performed by qualified personnel, other than the author of the relevant code, prior to introduction into the production environment?",Yes,
Does the operational Change Management/Change Control policy or program require information security's approval prior to implementing changes?,Yes,
Does the organization have an established and documented set of principles for engineering secure systems throughout the secure development lifecycle?,Yes,
"Does the organization regularly review the security engineering principles to ensure they meet enhanced security standards within the engineering process, and remain up-to-date in technology advancements to address any new potential threats?",Yes,
Is there a two-person rule for changes to critical assets?,Yes,
"Are Architecture and Infrastructure requirements specified and implemented when new systems are introduced, upgraded, or enhanced?",Yes,
"Is the maturity of IT management processes formally evaluated at least annually using an established benchmark (e.g., COBIT maturity models)?",Yes,
"Are information security requirements specified and implemented when new systems are introduced, upgraded, or enhanced?",Yes,
"Are new, upgraded, or enhanced systems required to include a determination of security requirements based on the sensitivity of the data?",Yes,
"Are information security specifications for new, upgraded, or enhanced systems identified using requirements from policies and regulations, threat modeling, incident reviews, or use of vulnerability thresholds?",Yes,
"Are information security specifications implemented prior to an upgrade, enhancement, or a new information system in the environment?",Yes,
"Are controls and associated processes related to security specifications such as authentication, access control, provisioning, and training considered for new, upgraded, or enhanced systems?",Yes,
"Are business continuity requirements considered for new, upgraded, or enhanced systems?",Yes,
"Does the organization maintain a maintenance policy and procedure for new, upgraded, or enhanced systems?",Yes,
"Does the maintenance policy and procedure require checking that controls function properly following maintenance, repair or replacement of system or system components?",No,"Our maintenance policy and procedure mandates a comprehensive review of all controls following any maintenance, repair, or replacement of system components. This ensures that our systems remain secure and compliant with industry standards."
"Is testing for validation of all implemented controls required for new, upgraded, or enhanced systems?",Yes,
"Are system resources monitored to ensure adequate capacity is maintained for new, upgraded, or enhanced systems?",Yes,
Does the monitoring process identify the systems deemed critical to maintain adequate capacity?,Yes,
"Are integrity, availability and confidentiality specifications considered for new, upgraded, or enhanced systems?",Yes,
"Is a risk assessment required to analyze the impact of needed changes and specified security controls for new, upgraded, or enhanced systems?",Yes,
"Does the organization's security testing process encompass the evaluation of security functions, access restrictions, utilization of cryptography, secure coding, and secure configurations?",Yes,
"Does the organization use test plans with a set of criteria (e.g., importance, nature of the system, and potential impact of the change being introduced) when performing security testing?",Yes,
"Does the set of criteria within the security testing plans include a detailed schedule of activities and tests, inputs and expected outputs under various conditions, criteria to assess the outcomes, and plans for further action as necessary?",Yes,
Does the organization have a procedure to verify the remediation of security-related defects?,Yes,
"Are error recovery and restart procedures required for new, upgraded, or enhanced systems?",Yes,
"Are preparation and testing of operating procedures required for new, upgraded, or enhanced systems?",Yes,
"Are effective manual procedures required for new, upgraded, or enhanced systems?",Yes,
"Are performance and capacity requirements considered for new, upgraded, or enhanced systems including stress tests?",Yes,
"Does the organization monitor, measure, and assess its capacity management capabilities (e.g., bandwidth, data storage, voice/data communication, processing, etc.)?",No,
"When planning and monitoring capacity requirements, does the organization consider the utilization of essential system resources (i.e., information processing facilities, personnel, offices, other facilities)?",No,"Yes, we do consider the utilization of essential system resources when planning and monitoring capacity requirements. We have a dedicated team that regularly assesses the usage of our information processing facilities, personnel, offices, and other facilities to ensure optimal resource allocation and to prevent any potential bottlenecks."
"Does the organization have a problem management lifecycle process and ticketing system for tracking, reviewing, and solving issues in a timely manner?",Yes,
Does the lifecycle and ticketing system include assignment of a severity rating based on potential impact?,Yes,
Is there an escalation process for reporting unresolved problems to management and stakeholders?,Yes,
"Does the organization utilize a common time synchronization service for audits, such as network time protocol (NTP) or precision time protocol (PTP), for systems and network devices?",Yes,
Are internal system clocks used to record date/time stamp on audit records?,Yes,
Does the organization have a procedure for monitoring and recording time differences if utilizing both cloud and on-premise services?,Yes,
Does the organization have a customer contact and communication process?,Yes,
Do service level agreements include specific requirements for customer contact and communication procedures?,Yes,
"Does the organization have a policy on logs including log-specific requirements (e.g., why was the log created, what data is collected)?",Yes,
"Does the organization's policy on logging have the following elements: user IDs, system activities, dates, times and details of relevant events, device identity, and network addresses and protocols?",Yes,
"Does the organization have a policy, procedure, or mechanism to prevent unauthorized changes to log information?",Yes,
Is there a system in place to ensure privacy is preserved and Personally Identifiable Information (PII) is protected when creating logs?,Yes,
Does the organization's log analysis cover the analysis and interpretation of information security events?,Yes,
"Are there monitoring activities in place to support the organization's log analysis, including the review of both successful and unsuccessful attempts to access protected resources?",Yes,
"Are there monitoring activities in place to support the organization's log analysis, including checking domain name system (DNS) logs to identify outbound network connections to malicious servers?",Yes,
"Are there monitoring activities in place to support the organization's log analysis, examining usage reports from service providers (e.g., invoices or service reports) for unusual activity within systems and networks (e.g., by reviewing patterns of activity)?",Yes,
"Are there monitoring activities in place to support the organization's log analysis, including event logs of physical monitoring such as entrance and exit to ensure more accurate detection and incident analysis?",Yes,
"Are there monitoring activities in place to support the organization's log analysis, which includes correlating logs to enable efficient and highly accurate analysis?",Yes,
Does the organization's logging procedures include reporting suspected and actual information security incidents?,Yes,
"Has management approved an access control policy, communicated it to constituents, appointed an owner to maintain it, and reviewed it?",Yes,
"Are access control procedures reviewed periodically to keep up with changes in business environment, people, processes, and technology?",Yes,
"Does the organization have procedures to control access and consider security, business, and risk?",Yes,
Are constituents able to access scoped data?,No,
"Is there a process for identifying, maintaining, and reviewing access, such as periodic reviews and role changes?",Yes,
Does the organization maintain and periodically review records of user access rights for information and asset access under the security program?,Yes,
"Does the organization consider business requirements when assigning or revoking access rights, by summarizing them into typical user profiles?",Yes,
Does the organization use cloning to assign access based on roles rather than user identity?,Yes,
Is there a process in place to review user access rights at least every three months?,Yes,
"Are unique IDs required for authentication to applications, operating systems, databases, and network devices?",Yes,
"Are user IDs that identify roles or access levels, or contain personal information other than name or email address (i.e., SSN, Access Level, Admin Role) prohibited?",Yes,
"Is access to applications, operating systems, databases, and network devices provisioned according to the principle of least privilege?",Yes,"While we do follow the principle of least privilege, we have recently experienced a few instances where employees were granted more access than necessary due to a misunderstanding of the policy. We are currently working on improving our communication and training to prevent such occurrences in the future."
"Does the organization have dynamic access management techniques to protect information throughout its life cycle (e.g., creation, processing, storage, transmission, and disposal)?",Yes,
Is there a set of rules governing the way IDs are created and assigned using the principle of least privilege?,Yes,
"Is there a process to request and receive approval for access to systems prior to transmitting, processing, or storing scoped data?",Yes,
Is there segregation of duties for granting access and approving access to scoped systems and data?,Yes,
Does the organization consider the possibility of collusion when designing segregation controls?,No,"Yes, we do consider the possibility of collusion when designing segregation controls. We have implemented a multi-layered approach to segregation, including regular audits and monitoring, to mitigate the risk of collusion."
"Is there activity monitoring, database monitoring, audit trail, or management supervision controls when segregation of duties is not feasible for access grant, approval, and implementation?",Yes,
Does the organization use automated tools to identify and facilitate the removal of conflicts when there are a large number of roles assigned during segregation of duties?,Yes,
"Are requests for granting access documented, retained and retrievable for audit purposes for a minimum of one year?",Yes,
Is there a process to require a change in credentials for shared/group accounts after an individual is removed from the group?,Yes,
"Are privileged user access rights restricted to key roles (i.e., constituents with specialized levels of technical access), monitored and reviewed at least quarterly, and documented in the access control policy?",Yes,
Are privileged user access rights reviewed at least quarterly?,Yes,
"Does the access control policy include rules for identity management, secure authentication information, access rights assignment and revocation, restrictions, and privileged utility program usage?",Yes,
Does the organization's process for assigning or revoking physical or logical access consider the segregation of duties for allowing authorized personnel to have temporary access for a specified duration and revoke that access once the temporary access has expired?,Yes,
"Does the organization's process for assigning or revoking physical or logical access designed to ensure that access rights are activated only after authorization procedures are completed, such as by service providers?",Yes,
"Does the organization have a policy, procedure, or mechanism to record all significant events concerning the use, management, and authentication of user identities?",Yes,
"Does the organization have a policy, procedure, or mechanism to ensure that third-parties identities have the required trust level?",Yes,
Are user access rights reviewed at least annually?,No,
Does the organization's process for assigning or revoking physical or logical access include modifying the access rights of users who have changed roles or jobs?,Yes,
Does the service provider conduct user and privileged access reviews for remote access by its vendors with access to scoped systems and data?,Yes,
Are inactive constituent user IDs disabled and deleted after defined periods of inactivity?,Yes,
Are inactive constituent user IDs disabled within 90 days?,Yes,
Are inactive constituent user IDs deleted within 120 days?,No,
Are clients allowed to manage access to their own systems and data?,No,
"Is a standards-based federated ID capability available to clients e.g., SAML, OpenID, Single Sign On?",Yes,
Are clients able to receive a list of personnel that will have access to their scoped system and data?,No,
Are clients able to receive a role-based access list of personnel with access to their scoped systems and data?,Yes,
"Is access to systems that store or process scoped data limited by time of day, physical location, or network subnet?",Yes,
Does the organization have a policy restricting the reuse of user IDs for systems storing or processing scoped data?,Yes,
"Is there an administrative process to address lost, compromised, or damaged authenticators?",Yes,
Is there a process in the access control system that allows for the revocation of authenticators when necessary?,Yes,
Is it possible for clients to require written approval for all personnel who have access to their scoped data and systems?,Yes,
Have measures been taken to ensure that client-specific data is not accessible without proper authorization through policy controls?,Yes,
"Have preventive measures been implemented to restrict access to client-specific data, particularly technical data?",Yes,
Is there a system of detective controls to prevent unauthorized access to client-specific data?,Yes,
Are there any measures in place to prevent unauthorized access to client-specific data?,No,"We have implemented strict access controls, including multi-factor authentication and role-based access, to ensure that only authorized personnel can access client-specific data. Additionally, we conduct regular security audits to identify and address any potential vulnerabilities."
Does the system enforce limits on concurrent interactive sessions per user for scoped systems?,Yes,
"Has management approved, communicated, and enforced a password policy for systems that transmit, process, or store scoped data on all platforms and network devices?",Yes,
Does the password policy require keeping passwords confidential?,Yes,
"Does the password policy apply to all servers, network devices, web/file transfer services, and workstations?",Yes,
"Does the password policy mandate periodic password changes, prohibit password sharing, and require encryption of passwords in transit and at rest?",Yes,
Does the password policy require passwords to be encrypted or hashed in storage?,Yes,
"Does the password policy require hashing passwords with a Key Derivation Function (PBKDF2, Scrypt, BALLOON) and a 32-bit random salt?",Yes,
Does the password policy require passwords be masked when entered and displayed by default?,Yes,
Does the password policy require system configuration to lock an account when five or more invalid login attempts are made?,Yes,
Does the password policy require Administrative Intervention when locked due to excessive failed login attempts?,Yes,
Does the password policy require password expiration within 90 days or less?,Yes,
Does the password policy define specific length and complexity requirements for passwords?,Yes,
Does the password policy require a minimum password length of at least eight characters?,Yes,
Are client passwords of up to at least sixty-four characters permitted?,Yes,
"Are complex passwords required on systems transmitting, processing, or storing scoped data e.g., mix of upper-case letters, lower case letters, numbers, and special characters?",Yes,
Does the password policy define requirements for provisioning and resetting passwords?,Yes,
Does the password policy require initial and temporary passwords to be changed upon next login?,No,
Does the password policy require initial and temporary passwords to be random and complex?,Yes,
Is password reset authority restricted to authorized persons and/or an automated password reset tool?,Yes,
"Are user IDs and passwords communicated/distributed via separate media e.g., e-mail and phone?",Yes,
Are password files and application data stored in different file systems?,Yes,
Does the password policy apply to both constituent and client passwords?,Yes,
"Does the password policy prohibit keeping an unencrypted record of passwords e.g., paper, software file or handheld device?",Yes,
"Does the password policy prohibit including unencrypted passwords in automated logon processes e.g., stored in a macro or function key?",Yes,"While we do prohibit the use of unencrypted passwords in automated logon processes, we have not yet implemented a system to enforce this policy, which may leave our systems vulnerable to attacks."
Does the password policy prohibit a PIN or secret question as a possible stand-alone method of authentication?,Yes,
Does the password policy require a password history of at least twelve iterations before reuse?,Yes,
Does the password policy require a minimum age before a password can be reset?,Yes,
Are password hints or password recovery questions used for client or constituent passwords?,No,
"Are all new passwords tested against a list that contains values known to be commonly used, expected or compromised?",Yes,
Is Multi-Factor Authentication (MFA) utilized?,Yes,
Is Multi-Factor Authentication required for Privileged System Access?,Yes,
Is Multi-Factor Authentication required for scoped systems and data access?,Yes,
Is Multi-Factor Authentication available for client accounts?,Yes,
Does the organization have a procedure to authenticate information if the original method of authentication is unavailable?,Yes,
Does the organization have a procedure for logging into a system or application with minimal risk of unauthorized access?,Yes,
"Is there an internet-accessible self-service portal available that allows clients to provision, audit, modify, and remove user entitlements?",Yes,
Are documented log-on banner requirements maintained?,Yes,
Are log-on banners used to ensure users are informed of system and data restrictions?,Yes,"While we do use log-on banners, they are not consistently displayed to all users, and their content may not always accurately reflect the system and data restrictions."
Do log-on banners include a description of the authorized uses of the system?,Yes,
Do log-on banners state that information system usage may be monitored and subject to audit?,Yes,
Do log-on banners state that unauthorized use of information systems is prohibited and subject to criminal and civil penalties?,Yes,
Do log-on banners state that use of information systems indicates consent to monitoring and recording?,Yes,
Is the log-on banner or notification message left on-screen until users acknowledge the usage conditions and take explicit actions to log on to further access the information system?,Yes,
Are the system use information requirements displayed in the log-on banners before granting further access?,Yes,
"Are log-on banners displaying references to monitoring, recording, or auditing consistent with privacy accommodations for such systems that prohibit those activities?",Yes,
Are there any log-on banners that indicate that the users are accessing an information system that belongs to the U.S. Government?,Yes,
"Does the user receive a specific error message upon log-in failure, rather than a generic one?",Yes,
Do all systems display messages or warning banners before individuals log in to organizational systems?,Yes,
Are all systems capable of displaying security and privacy messages or warning banners when accessed?,Yes,
"Does the organization proactively govern account management of individual, group, system, application, guest, and temporary accounts?",Yes,
Does the organization have a process for end users to acknowledge and accept remote desktop support prior to another user taking control of their system?,Yes,
Are there any limitations imposed by the organization when it comes to the use of shared and group accounts?,Yes,
Does the organization maintain adaptive or supplemental authentication methods if suspicious behavior or activity is detected?,Yes,
"Are only authorized users allowed to use system utilities such as remote access software, administrative interfaces, and security interfaces?",Yes,
"After logging in successfully, is there a message that displays the previous successful login time?",No,
Does your organization have a process to protect system access from unauthorized boot procedures?,Yes,
"Are applications used to transmit, process, or store scoped data?",Yes,
"Are the development, testing, and staging environments kept separate from the production environment?",Yes,
"Are development, test, and staging environments separated from the production environment physically and logically?",Yes,
Is there an individual or group responsible for Application Security?,No,
Do application security experts work with developers for every application?,Yes,
"Is there an established IT Architecture Plan that defines Secure Architectural Design Standards for application security requirements that is approved by management, communicated to constituents, and has an owner to maintain and review?",No,
"Does the Architecture Plan and Secure Architectural Design Standards include processes for obtaining approvals, changes to the plan, and reporting to management if required?",Yes,
"Does the Architecture plan and Secure Architectural Design Standards define requirements based on type of software e.g., internally developed, externally developed, OS, enterprise, open source, API, Mainframe, Security, System Auditing, etc.?",Yes,
Are outside development resources utilized?,Yes,
Do all outside development resources comply with the SDLC (Software Development Life Cycle)?,Yes,
Is there a process to require supervision and monitoring of the activity of outsourced system development?,Yes,
"Is scoped data used in the test, development, or QA environments?",No,
Is authorization required when production data is copied to the test environment?,Yes,
Is test data destroyed following the testing phase?,Yes,
Does the organization have a procedure for storing test data securely and exclusively utilizing it for testing purposes within the organization?,Yes,
"Is test data de-identified during the testing phase e.g., masked, obfuscated, anonymized, pseudonymized, synthetic data etc.?",Yes,
"Is there formal training for developers that includes security and privacy functions, controls, and mechanisms?",Yes,
Do changes to applications or application code go through a risk assessment?,Yes,
Is a security architecture risk analysis performed when new applications are designed?,Yes,
"Do security architecture risk analyses assign applications risk ratings that reflect the types of data accessed e.g., high, medium, low?",Yes,
"Do security architecture risk analyses of applications include a security feature review for emerging technology? e.g., IoT, AI, ML, Cloud, Microservices, etc.?",Yes,
"Do security architecture risk analyses of applications include reviews of deployment environments e.g., in-house, outsourced, virtualization, cloud, hybrid, physical/virtual components, etc.?",Yes,
"Do security architecture risk analyses of applications include a security feature review i.e., authentication, access controls, use of cryptography, etc.?",Yes,
Do security architecture risk analyses of applications include a security architecture design review for high-risk applications?,Yes,
Do security architecture risk analyses of applications include threat modeling into the business requirements/design process of the SDLC?,Yes,
Are security architecture risk analyses of applications reviewed when major changes are introduced into applications?,Yes,
Does the security architecture risk analysis identify and address weaknesses or deficiencies in supply chain risk for systems or systems components?,No,
Are the risks from internal and external sources clearly understood based on risk exposure?,Yes,
"Are system, vendor, or service accounts disabled for normal operations and monitored for usage?",Yes,
"Are web applications configured to follow best practices or security guidelines e.g., OWASP?",Yes,
"Does the organization have a policy or procedure to control access to source code (e.g., designs, specifications) and developmental tools (e.g., compilers, builders, integration tools)?",Yes,
Do IT support personnel have access to application source libraries?,No,
Is all access to application source libraries logged?,Yes,
Are audit logs maintained and reviewed for all application source library updates?,Yes,
"Are developers permitted to access production environments, including read only access?",No,
Are developers required to request or obtain access outside an established role (emergency access)?,Yes,
Are developers permitted to access systems and applications based on established profiles that define responsibilities or job functions?,Yes,
Is copying to the test environment logged?,Yes,
Are access control procedures the same for both the test and production environment?,No,
"Is data input into applications validated i.e., Web Application, COTS, internally developed, etc.?",Yes,
Is there a process for addressing application log failures?,Yes,
"Is an independent security evaluation conducted or certification maintained for applications that transmit, store, or process scoped data?",Yes,
"Is a formal application development methodology used e.g., Agile, DSDM, XP, FDD, LD?",Yes,
Is every data transaction maintained in an authenticated state?,Yes,
Is there a means for secure session management?,Yes,
"Is there comprehensive, secure error handling?",Yes,
Do applications provide granular and comprehensive logging?,Yes,
Are application sessions set to time out within 15 minutes or less?,Yes,
Do applications have separate source code repositories for production and non-production environments?,Yes,
Is application development performed?,Yes,
"Is there a secure software development lifecycle policy that has been approved by management, communicated to appropriate constituents and an owner to maintain, and review the policy?",Yes,
Is there a formal Software Development Life Cycle (SDLC) process?,Yes,
Does the SDLC process include Remediation of Penetration Test issues relevant to the application under review?,Yes,
Does the SDLC process include communicating discovered vulnerabilities to developers?,Yes,
Does the SDLC process include communicating known vulnerabilities to developers and Security Monitoring and Response group for awareness and monitoring?,Yes,
Does the SDLC process include integration testing and acceptance testing?,Yes,
Does the SDLC process include tracking vulnerabilities identified in production through the same mechanisms used to track and remediate results from Penetration Tests?,Yes,
Does the SSDLC process include metrics on security flaws and release incidents?,Yes,
Does the SDLC process include peer code review?,Yes,
"Does the SDLC process include assessment of supply chain risks associated with the development, acquisition, maintenance and disposal of systems and applications?",Yes,
Is the assessment of supply chain risk periodically updated based on changes to the environment?,Yes,
Is security testing conducted on applications before production?,Yes,
Do pre-production application security reviews include testing procedures to determine whether security features are effective?,Yes,
Are pre-production application security reviews derived by obtaining a list of security features by the architecture group?,Yes,
Do pre-production application security reviews include abuse case test scripts?,Yes,
Does the organization require system developers and integrators to create and execute a Security Test and Evaluation (ST&E) plan to identify and remediate vulnerabilities prior to production?,Yes,
Is there a documented application change management/change control process for applications with scoped data?,Yes,
Does the application Change Management/Change Control process include change control procedures required for all changes to the production environment?,Yes,
Does the application Change Management/Change Control process include testing prior to deployment?,Yes,
Does the application Change Management/Change Control process include management approval prior to deployment?,Yes,
Does the change management process include stakeholder communication and a list of authorized approvers?,Yes,
Does the application change management/change control process include an impact assessment to review all affected systems and applications?,Yes,
Does the application change management/change control process include documentation for all system changes?,Yes,
Does the application change management/change control process include version control for all software?,Yes,
Does the application change management/change control process include logging of all Change Requests?,Yes,
Does the application change management/change control process include that changes only take place during specified and agreed upon times (green zone)?,Yes,
Does the application change management/change control process include that modifications and changes to software are strictly controlled?,Yes,
Does the organization have support for vendor-supplied software?,Yes,
Does the organization have a process to evaluate the risks of relying on unsupported software?,No,
Does the application change management/change control process include establishment of restart points?,Yes,
Does the application change management/change control process include identifying items that require configuration based on systems or system components?,Yes,
Does the application change management/change control process include review of code changes by information security?,Yes,
"Are applications released to production on a fixed schedule e.g., Daily, Weekly, Monthly, Ad Hoc?",Yes,
"Is external code in application documentation identified, reviewed for security flaws, and updated every six months?",Yes,
"Is open-source software or libraries used to transmit, process, or store scoped data?",No,
"Are information security reviews conducted and approved for the use or installation of open-source software e.g., Linux, Apache, etc.?",Yes,
Does the organization cover the legal liability for the use of open-source software or libraries in providing the scoped services?,No,
Is a Secure Code Review performed regularly?,Yes,
Do Secure Code Reviews include regular analysis of vulnerability to recent attacks?,Yes,
Do Secure Code Reviews include testing against common code vulnerabilities?,Yes,
Are Secure Code Reviews performed by individuals qualified to identify and correct code security flaws?,Yes,
Is there a full Secure Code Review for each release?,Yes,
"Does the organization have the following implemented once secure coding has been put in place: securely packaged and deployed updates, proper handling of reported information security vulnerabilities, logging of errors and suspected attacks, and regular reviews of logs to make necessary adjustments to the code?",Yes,
"Are there any security mechanisms in place to protect administrator access, such as just-in-time administration principles and strong authentication, once secure coding has been implemented?",Yes,
Are Secure Code Reviews performed against the entire code base in the development phase?,Yes,
"Do Secure Code Reviews include validation checks for the most critical web application security flaws including Cross Site Scripting, SQL injection e.g., OWASP Top 10 vulnerabilities?",Yes,
Do Secure Code Reviews include edge/boundary value condition testing?,Yes,
Do Secure Code Reviews include dynamic scanning against web-based applications while in the Q/A phase?,Yes,
"Do secure code reviews include Fuzz testing e.g., small numbers, large numbers, negative values, binary sequences, command line inputs, random values, etc.?",Yes,
Is source code security reviewed manually?,Yes,
Is an automated secure source code review conducted?,Yes,
Do automated secure source code tools include Static Application Security Testing (SAST)?,Yes,
Do automated secure source code tools include Dynamic Application Security Testing (DAST)?,Yes,
Do automated secure source code tools include Interactive Application Security Testing (IAST)?,Yes,
"Do automated secure source code tools include the ability to crawl and test Rich Internet Applications (RIA) e.g., JavaScript, Ajax frameworks?",Yes,
"Is a web site or web application supported, hosted, or maintained that processes scoped systems and data?",Yes,
Are security configuration standards documented for web server software?,Yes,
Is an Application Programming Interface (API) available to clients?,Yes,
Is there a formal security program established to include API security reviews and API design?,Yes,
Is manual code security testing on APIs performed by qualified personnel with expertise in both development and code security?,Yes,
Do application security reviews include an API Permission model review?,Yes,
Is scoped data encrypted in transit within the API for both request and response?,Yes,
Are APIs tested for security weaknesses?,Yes,
Does API security testing include Data scoping?,Yes,
Does API security testing include XSS (cross site scripting)?,Yes,
Does API security testing include SQL (structured query language) injection?,Yes,
Does API security testing include Session abuse?,Yes,
Does API security testing include Replay attack?,Yes,
Does API security testing include DoS (disk operating system)?,No,
Does API security testing include Data Leakage?,Yes,
Does API security testing include OWASP top ten or CWE Top 25 security issues?,Yes,
"Can the API alert, block or lock based on rate limit?",Yes,
Can a client manage access to the APIs?,Yes,
"Is there a self-service kill switch available to clients to disable an API in the event of a security incident e.g., DoS?",Yes,
Is there an option for the API request and response calls to be digitally signed?,Yes,
"Does the Cloud API allow clients to manage network access control e.g., firewall ACL?",Yes,
Does the API allow clients to manage access to the VPN?,Yes,
Does the API allow clients to manage application access control/permissions?,No,
Does the API allow clients to manage username/password credentials?,No,
Does the API allow clients to manage client-side certificates?,Yes,
Does the API allow clients to manage multi-factor authentication?,Yes,
Does the API allow clients to manage application generated tokens?,Yes,
"Does the organization have logical or physical segregation between web, application, and database components i.e., Internet, DMZ, Database?",Yes,
"Are web server software security configuration standards reviewed and/or updated at least annually to account for any changes in environment, available security features and/or leading practices and validated against compliant documented software security standards?",Yes,
Is HTTPS enabled for all web pages?,Yes,
Are either TLS 1.2 or 1.3 used for encrypting all web pages?,Yes,
Are web server certificates centrally managed and kept current?,Yes,
Are all unnecessary/unused services in web server software uninstalled or disabled?,Yes,
Are all remote administration and file sharing services on web server software configured to require authentication and encryption?,Yes,
Are sample applications and scripts removed from web servers?,Yes,
Are all web server software files maintained separate from the Operating System?,Yes,
Are available high-risk web server software security patches applied and verified at least monthly?,Yes,
"Are all web server patches, service packs, and hot fixes tested, documented, and approved prior to installation?",Yes,
Are web server software patch successes and failures logged?,Yes,
Are third party alert services used to keep up to date with the latest web server software vulnerabilities?,Yes,
Are web server software versions that no longer have security patches released prohibited?,Yes,
Are web server software configuration options restricted to authorized users?,No,
"Is sufficient detail contained in web server and application logs to support incident investigation, including successful and failed login attempts and changes to sensitive configuration settings and files?",Yes,
"Are Web Server events and application logs relevant to incident investigations protected against modification, deletions, and/or inappropriate access and retained for at least one year?",Yes,
Are system notifications generated in the event the system fails to write a web server software event to an audit log?,Yes,
Are back up audit records stored on a physically different system or system component than the Security Incident Event Manager (SIEM) or similar automated tool?,Yes,
Does the organization allocate audit log storage capacity based upon a defined retention schedule?,Yes,
"Are compilers, editors, or other development tools present in production web server environments?",No,
